SampleID,Location,Latitude,Longitude,Replicate,Date,Species,abb,Species_photo#,Shoot_number,Canopy_photo#,Canopyheight_1,C_note1,Canopyheight_2,C_note2,Canopyheight_3,C_note3,Canopyheight_4,C_note4,Canopyheight_5,C_note5,Canopyheight_6,C_note6,Canopyheight_7,C_note7,Canopyheight_8,C_note8,Canopyheight_9,C_note9,Canopyheight_10,C_note10,Leaf_photo#,Leaflength_1,L_note1,Leaflength_2,L_note2,Leaflength_3,L_note3,Leaflength_4,L_note4,Leaflength_5,L_note5,Leaflength_6,L_note6,Leaflength_7,L_note7,Leaflength_8,L_note8,Leaflength_9,L_note9,Leaflength_10,L_note10,Leafwidth_1,Leafwidth_2,Leafwidth_3,Leafwidth_4,Leafwidth_5,Leafwidth_6,Leafwidth_7,Leafwidth_8,Leafwidth_9,Leafwidth_10,Root_photo#,Rootlength_1,Rootlength_2,Rootlength_3,Rootlength_4,Rootlength_5,Rootlength_6,Rootlength_7,R_note7,Rootlength_8,Rootlength_9,Rootlength_10,R_note10,Rhizomediameter_1,Rhizomediameter_2,Rhizomediameter_3,Rhizomediameter_4,Rhizomediameter_5,Rhizomediameter_6,Rhizomediameter_7,Rhizomediameter_8,Rhizomediameter_9,Rhizomediameter_10,Internodelength_1,Internodelength_2,Internodelength_3,Internodelength_4,Internodelength_5,Internodelength_6,Internodelength_7,Internodelength_8,Internodelength_9,Internodelength_10,Aboveground_photo#,Aboveground_wet_mass,Aboveground_dry_mass1,Aboveground_dry_mass2,Aboveground_dry_mass3,Belowground_photo#,Belowground_wet_mass,Belowground_dry_mass1,Belowground_dry_mass2,Belowground_dry_mass3,Flower_seed,Pack,Note1,Note2,Note3,Note4,Note5
PAL7_26122022,Pallarenda,-19.18400997,146.766158,7,26/12/2022,Halophila ovalis,HO,P2123301,62,P2123302,27.4,,31.74,,39.38,,31.78,,21.52,,28.91,,16.59,,31.67,,29.41,,26.29,,P2123302,15.24,,15.35,,15.55,,16.62,,12.81,,11.63,,9.74,,11.48,,11.52,,13.64,,5.99,5.36,4.68,4.83,5.33,4.16,4.8,3.75,3.43,4.09,P2123302,13.74,45.59,38.38,11.99,27.01,27.05,78.17,,25.24,24.26,17.75,,0.58,0.6,0.59,0.51,0.58,0.42,0.59,0.53,0.44,0.58,19.83,6.98,16.82,10.3,14.18,22.12,22.05,8.34,10.13,9.15,P2123306,2085.8,84.2,83.5,,P2123307,3938.5,121.7,121.5,,0,yes,W/L in order,"Double check rhizome diameter on computer, P2123302 -> Checked. ImageJ generally get bigger measurement due to the fuzzy zone of water. Keep the original measurements.",Photo for whole sample: P2113288,,
PAL7_26122022,Pallarenda,-19.18400997,146.766158,7,26/12/2022,Zostera muelleri subsp. capricorni,ZC,P2123308,1,P2123309,85.13,,,,,,,,,,,,,,,,,,,,P2123310,27.95,,80.32,,67.15,C,33.98,,,,,,,,,,,,,,1.49,2.11,1.67,2,,,,,,,P2123309,12.17,42.06,40.6,,,,,,,,,,1.87,1.13,,,,,,,,,,,,,,,,,,,P2123311,155.9,11.8,11.9,,P2123312,327.5,33.1,32.8,,0,yes,W/L in order,No clear node for measurment. See P2123309,,,
PAL8_26122022,Pallarenda,-19.18380202,146.765541,8,26/12/2022,Holudule uninervis narrow,HUN,P2123313,201,P2123314,94.2,,60.56,,68.71,,78.69,,81.66,,45.95,,68.57,,57.88,,81.46,,60.77,,P2123316,59.85,,22.41,,60.47,,92.79,,81.61,,55.23,,53.79,,85.33,,100.36,,63.79,,0.59,0.65,0.46,0.56,0.47,0.43,0.45,0.61,0.72,0.54,P2123314,37.13,25.32,89.11,43.88,58.22,62.53,75.09,,38.31,32.62,20.37,,0.51,0.5,0.7,0.51,0.58,0.62,0.45,0.52,0.41,0.43,21.02,10.42,15.85,15.84,14.3,12.26,17.29,20.04,10.45,16.66,P2123317,7751.9,465.9,462.6,,P2123318,16841.2,1430.2,1416.5,,20,yes,W/L in order,At least 20 fruit/seed,Some droping leaves and rhizomes,One broken lead of HUW in sample.,Double check rhizome diameter with P2123314 -> Checked. ImageJ generally get bigger measurement due to the fuzzy zone of water. Keep the original measurements.
PAL8_26122022,Pallarenda,-19.18380202,146.765541,8,26/12/2022,Halophila ovalis,HO,P2123319,53,P2123320,28.78,,16.99,,28.37,,20.45,,24.12,,37.58,,10.31,,22.02,,20.32,,20.29,,P2123320,15.73,,12.72,,12.97,,12.08,,10.65,,10.95,,9.91,,9.55,,9.71,,16.91,,5.11,5.85,4.67,4.26,3.16,3.33,3.35,3.25,3.7,5.63,P2123320,48.95,2.36,13.71,41.12,29.77,33.69,27.77,,18.11,36.35,22.83,,0.28,0.67,0.55,0.49,0.44,0.3,0.31,0.3,0.34,0.54,12.08,17.4,12.41,10.93,11.62,13.83,15.96,12.4,20.44,15.43,P2123322,1163.6,44.6,44.4,,P2123323,3099.2,105.2,105.4,,0,yes,W/L in order,Double check rhizome diameter: P2123321 -> checked similar result. Keep original measurements,,,
PAL9_26122022,Pallarenda,-19.18380403,146.765311,9,26/12/2022,Halophila ovalis,HO,P2133357,47,P2133358,19.21,,19.09,,17.68,,33.67,,13.35,,22.52,,25.92,,11.27,,31.3,,28.17,,P2133358,8.19,,7.05,,10.87,,11.72,,11.33,,10.91,,11.75,,12.73,,14.68,,7.57,,2.86,2.88,4.17,3.54,5,5.11,5.26,4.6,4.59,3.56,P2133358,28.42,46.39,14.86,24.95,35.08,38.05,30.25,,15.03,10.65,14.7,,0.51,0.53,0.67,0.54,0.53,0.53,0.46,0.35,0.73,0.46,12.59,9.35,11.73,13.02,12.08,12.54,8.67,6.23,6.55,12.32,P2133359,704.6,34.4,35,,P2133360,1740.5,55.1,56.4,,0,yes,W/L in order,Rhizome diameter measure on computer: P2133358 -> measured,,,
PAL9_26122022,Pallarenda,-19.18380403,146.765311,9,26/12/2022,Zostera muelleri subsp. capricorni,ZC,P2133361,25,P2133362,57.87,,80.16,,64.7,,84.17,,63.8,,101.34,C,85.22,,75.79,,81.81,,84.63,,P2133363,47.94,,87.24,,78.62,,59.11,,51.42,,51.3,,46.74,,80.34,,84.96,,65.09,,1.42,1.62,1.02,0.89,1.88,1.77,1.88,1.93,1.87,1.63,P2133364,64.27,47.33,39.07,82.21,64.55,53.9,38.17,,38.28,50.23,85.75,,0.95,0.73,1.12,1.18,0.79,0.77,0.83,1.05,0.98,1.12,12.59,20.7,14.82,21.75,16.29,10.03,16.6,11.46,10.29,7.8,P2133365,3165.9,239.2,238.9,,P2133366,7337.4,446.6,442.8,,0,yes,W/L in order,,,,
PAL9_26122022,Pallarenda,-19.18380403,146.765311,9,26/12/2022,Holudule uninervis narrow,HUN,P2133367,229,P2133368,87.87,,80.34,,63.46,,62.56,,115.46,,66.52,,96.65,,63.71,,46.82,,65.19,,P2133369,32.83,,41.97,,61.12,,101.75,,25.1,,62.71,,74.62,,31.77,,84.46,,46.08,,0.67,0.54,0.39,0.36,0.56,0.52,0.52,0.5,0.52,0.38,P2133368,33.93,35.49,56.34,76.14,49.08,40.66,67.66,,71.62,44.13,26.85,,0.44,0.49,0.68,0.48,0.66,0.44,0.36,0.56,0.43,0.45,16.52,12.16,20.95,19.36,12.4,15.75,11.03,10.11,15.75,6.71,P2133370,6688.6,383.8,280.8,,P2133371,15704.4,1304.4,1296.3,,19,yes,W/L in order,,,,
PALSUB1_2409222,Pallarenda_subtidal,-19.20117402,146.778294,1,24/09/2022,Holudule uninervis wide,HUW,P2012965,12,"P2012966, P2012967",103.38,,64.6,,137.65,,54.13,,68.15,C,164,L,111.53,,129.6,,124.43,,34.92,,P2012968,56.24,,122.1,,115.51,,58.63,,125.04,,105.74,,76.6,,61.38,,99.97,,96.36,,2.42,4.29,4.49,4.08,4.42,4,4.12,4.12,3.75,3.64,P2012969,34.32,30.77,16.23,64.65,24.89,18.55,23.46,,54.47,29.98,7.65,,1.64,1.51,1.38,1.12,1.28,0.76,0.76,0.93,1.02,0.81,9.97,16.54,8.82,4.95,3.51,14.38,,,,,P2012970,3008.4,NA,241.4,,P2012971,2327.9,341.3,341.4,,0,yes,W/L in order,,,,
PALSUB1_2409222,Pallarenda_subtidal,-19.20117402,146.778294,1,24/09/2022,Halophila spinulosa,HS,P2012973,16,"P2012974, P2012979",67.85,,45.31,,115.82,,76.9,,38.81,,57.64,,55.26,,91.88,,17.67,,,,P2012981,16.96,,15.07,,12.3,,13.33,,14.98,,14.02,,16.53,,13.93,,11.94,,13.39,,3.26,3.53,3.03,2.89,3.39,3.33,3.4,3.01,2.83,3.01,"P2012974, P2012979",73.76,42.51,84.14,28.5,70.38,34.15,59.1,,57.81,37.47,56.56,,0.88,0.74,0.61,1.3,0.85,0.89,1.03,0.94,,,32.81,14.56,40.98,15.77,35.17,18.61,24.08,29.25,,,P2012982,3679.8,312.8,312,,P2012983,2039.1,168.9,170.8,,7,yes,W/L in order,"Flower bud or early fruit, P2012975, P2012976, P2012978",,,
PALSUB2_2409222,Pallarenda_subtidal,-19.20107502,146.778247,2,24/09/2022,Holudule uninervis narrow,HUN,P2012985,29,P2012986,80.25,,57.36,,68.64,,127.24,,48.24,,47.23,,65.4,,40.27,,44.56,,53.24,,P2012987,103.53,,57.14,,48.48,,31,,78.34,,74.26,,56.88,,24.66,,85.01,,60.91,,0.92,0.6,0.9,1.05,0.84,0.81,0.72,0.76,0.86,0.81,P2012986,79.41,29.02,55.45,43.8,60.27,19.15,19.14,,7.05,41.59,33.33,,0.54,0.46,0.68,0.64,0.68,0.69,0.59,0.57,0.4,0.8,13.24,21.91,16.5,7.58,7.97,9.17,11.46,13.78,8.41,12.23,P2012988,860.6,60.2,60,,P2012989,2263.3,219.2,220.8,,0,yes,W/L in order,Photo of all sample: P2012984,1 Shoot of HS was in the sample,,
PALSUB2_2409222,Pallarenda_subtidal,-19.20107502,146.778247,2,24/09/2022,Halophila ovalis,HO,P2012990,5,P2012992,30.57,,23.28,,28.76,,25.52,,29.62,,,,,,,,,,,,P2012992,11,,9.84,,10.75,,9.76,,8.96,,12.83,,,,,,,,,,4.5,3.49,3.84,3.2,3.45,5.97,,,,,P2012992,13.57,10.52,12.54,9.75,9.43,11.43,19.15,,,,,,0.49,0.56,0.56,0.44,0.62,0.56,0.55,,,,10.66,13.03,16.89,14.02,10.41,14.81,,,,,P2012993,82.7,6,4.7,,P2012994,93.4,2.6,3.1,,0,yes,W/L in order,,,,
PALSUB2_2409222,Pallarenda_subtidal,-19.20107502,146.778247,2,24/09/2022,Holudule uninervis wide,HUW,P2012995,22,P2012996,133.07,,120.64,,76.54,C,75.57,,83.26,C,88.03,C,90.46,,46.78,C,38.18,C,58.99,C,P2012998,76.21,,94.13,,76.35,,61.28,,109.06,,95.21,,31.47,,84.04,C,90.79,C,37.42,,3.13,3.18,2.92,3.08,3.33,3.31,1.84,2.02,1.97,3.47,P2012997,63.25,28.97,56.74,40.19,72.64,27.39,40.27,,73.05,34.88,35.27,,1.63,1.5,1.51,1.02,0.85,0.56,0.63,0.77,0.73,0.74,20.98,25.65,29.12,10.42,8.77,17.51,14.79,20.27,19.91,23.28,P2012999,3464.4,208.6,207.2,,P2013000,4648.6,401.7,406.1,,0,yes,W/L in order,,,,
PALSUB3_2409222,Pallarenda_subtidal,-19.20155103,146.778329,3,24/09/2022,Holudule uninervis wide,HUW,P2023001,13,P2023002,106.44,C,81.8,C,62.71,C,98.68,,62.55,C,72.38,C,68.85,,88.16,,,,,,P2023003,77.83,,66.96,C,55.93,C,55.35,,55.47,,81.81,,80.14,,33.47,,94.81,,61.07,C,3.13,3.32,3.59,3.4,3.83,3.75,3.72,3.46,3.63,3.09,P2023002,40.82,64.41,32.95,14.99,25.36,24.81,42.79,,43.48,18.31,29.94,,1.19,0.89,0.78,0.95,0.82,0.97,,,,,13.26,18.59,15.4,8.96,15.83,6.9,,,,,P2023004,2130.2,138.8,139.3,,P2023005,3014.4,389.9,395.3,,0,yes,W/L in order,,,,
PALSUB3_2409222,Pallarenda_subtidal,-19.20155103,146.778329,3,24/09/2022,Holudule uninervis narrow,HUN,P2023006,13,P2023007,44.15,,111.6,,129.04,,77.59,,54.24,,129.23,,45.54,,91.73,,42.78,,43.79,,P2023008,41.36,,98.02,,94.47,,115.29,,56.17,,77.47,,28.34,,30.76,,40.95,,128.84,,0.86,0.83,0.7,0.73,0.89,0.8,0.98,0.75,0.57,0.97,P2023007,22.96,25.07,85.6,33.52,29.13,17.35,56.01,,30.24,46.65,33.98,,0.64,0.76,0.4,0.58,0.73,0.6,0.87,0.54,0.49,0.42,10.48,16.3,7.98,11.75,15.68,21.43,23.8,5.41,5.38,,P2023009,311.2,24.3,24.4,,P2023010,666.5,43.8,44.6,,0,yes,W/L in order,,,,
PALSUB4_2409222,Pallarenda_subtidal,-19.20936297,146.780186,4,24/09/2022,Holudule uninervis wide,HUW,P2143386,23,P2143387,109.33,,133.19,,100.33,,117.64,,66.77,C,79.65,C,123.12,,104.33,,102.21,,107.06,,P2143387,59.53,,103.94,,61.35,,29.88,,31.46,,108.62,,99.78,,115.33,,79.75,,101.53,,3.07,3.04,3.3,2.56,2.93,2.75,3.1,2.89,3.85,3.34,P2143387,44.63,25.24,87.21,71.81,63.87,44.58,37.61,,31.44,30.95,39.05,,1.04,1.01,1.13,1.04,1.18,0.86,1.06,0.92,0.89,1.15,18.52,6.34,7.06,13.03,11.7,6.23,4.83,8.79,5.2,7.38,P2143393,6930.1,454.3,458.7,,P2143394,6344.1,600.5,605.2,,1,yes,W/L in order,One rhizome of HO in sample (without leaf),,,
PALSUB5_2409222,Pallarenda_subtidal,-19.21127999,146.780249,5,24/09/2022,Holudule uninervis wide,HUW,P2143414,19,P2143415,69.06,,74,,92.62,,61.98,,122.8,,78.14,,41.34,,70.66,,98.04,,82.64,C,P2143416,98.27,,65.81,,42.79,,76.03,,52.36,,85.14,,58.41,,109.09,,69.93,,94.28,,1.65,1.58,1.52,1.52,2.59,2.16,3.44,3.35,3.15,3.09,,56.35,72.15,56.64,26.24,18.39,29.9,78.97,,43.49,46.36,39.29,,1.36,0.94,1.23,1.37,1.92,1.09,1.03,1.05,1.11,1.3,8.7,15.18,9.68,12.03,6.8,9.01,15.89,11.32,12.57,8.83,P2143417,2690.6,148.3,149.4,,P2143418,4983.3,476.3,475.6,,0,yes,W/L in order,,,,
PALSUB5_2409222,Pallarenda_subtidal,-19.21127999,146.780249,5,24/09/2022,Holudule uninervis narrow,HUN,P2143391,79,P2143395,62.07,,65.47,,75.28,,90.1,,71.63,,68.26,,50.55,,51.26,,40.92,,56.13,,P2143396,20.09,,39.24,,39.74,,64.01,,69.92,,27.82,,113.28,,75.15,,56.06,,63.14,,0.92,0.68,0.7,0.77,0.75,0.74,0.67,0.74,0.66,0.75,P2143395,56.44,23.47,27.03,30.58,84.98,12.66,41.41,,44.19,14.42,28.1,,0.62,0.9,0.67,0.48,0.77,0.55,0.58,0.56,0.64,0.51,8.59,10.48,10.07,16.72,8.65,16.65,9.48,7.17,12.77,14.43,P2143401,2381.7,127.9,127.1,,P2143402,7505.8,822.7,821.5,,0,yes,W/L in order,Double check diameter with photo: P2143400 -> Checked. Original measurements are reasonable.,"The leaf length and width measurement order is different form the photo, but the pairs are correct.",,
PALSUB5_2409222,Pallarenda_subtidal,-19.21127999,146.780249,5,24/09/2022,Halophila spinulosa,HS,P2143419,2,P2143420,42.09,,14.85,,,,,,,,,,,,,,,,,,P2143421,15.41,,17.07,,20.57,,17.36,,19.43,,13.36,,18.57,,18.51,,15.53,,10.14,,3.67,3.92,4.04,3.54,4.15,3.88,4.15,3.84,4.06,3.63,P2143420,33.38,44.13,,,,,,,,,,,0.96,0.79,,,,,,,,,46.36,,,,,,,,,,P2143422,202.6,7.1,7.1,,P2143423,113.2,10.3,9.8,,0,yes,W/L in order,Leaf measurement are actually leaflet,,,
PALSUB5_2409222,Pallarenda_subtidal,-19.21127999,146.780249,5,24/09/2022,Halophila ovalis,HO,P2143424,2,P2143425,18.22,,10.04,,,,,,,,,,,,,,,,,,P2143425,13.71,,9.91,,,,,,,,,,,,,,,,,,7.01,6.42,,,,,,,,,P2143425,10.42,19.88,24.42,18.05,11.63,,,,,,,,0.55,0.57,0.62,0.53,0.59,,,,,,24.62,23.7,24.44,,,,,,,,P2143426,38.5,3.3,3.4,,P2143427,89,4.2,4.4,,0,yes,W/L in order,"Double check rhizome diameter with P2143425 -> Checked, original measurements are reasonable.",,,
PALSUB6_2409222,Pallarenda_subtidal,-19.21134202,146.780256,6,24/09/2022,Holudule uninervis wide,HUW,P2143388,36,P2143390,106.12,,105.98,,100.9,,89.14,,73.87,,77.37,,82.95,,60.8,C,32.06,,68.74,C,P2143392,99.87,,106.89,,44.42,,87.12,,64.74,,98.76,,76.63,,76.87,,80.39,,30.66,,3.66,3.6,3.49,4.13,3.21,3.99,3.52,3.43,3.21,3.12,P2143390,42.6,58.44,33.15,47.4,32.29,33.98,18.66,,50.42,24.44,59.01,,1.03,0.7,1.07,1.11,1.23,0.89,1.08,1.02,1.06,1.32,5.26,6.7,9.42,6.34,7.06,5.39,9.1,4.37,4.22,4.91,P2143398,4127,274.1,271.7,,P2143399,6275,632.9,634.1,,0,yes,W/L in order,,,,
PALSUB6_2409222,Pallarenda_subtidal,-19.21134202,146.780256,6,24/09/2022,Holudule uninervis narrow,HUN,P2143403,9,P2143405,24.66,C,21.45,C,19.85,C,45.25,,106.69,,90.61,,76.16,P,76.32,P,,,,,P2143406,87.6,,19.64,,31.96,,34.13,,24.31,,46.49,,90.89,,66.26,P,75.97,P,62.23,P,0.9,0.71,0.79,0.66,0.61,0.9,0.76,1.31,1.24,1.2,P2143405,21.1,23.53,16.64,35.65,21.28,24.23,11.85,,54.15,52.3,41.03,,0.68,0.65,0.65,,,,,,,,6.57,13.61,11.72,,,,,,,,P2143407,240.7,16.3,16.2,,P2143408,343.2,35.1,35.7,,0,yes,W/L in order,"2 shoots might be HUW, see P2143405 at right",In leaf photo (P2143406) the potential HUW are on the right (3 leaves),,
